Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Birkenkofel,2922,385,12.2567,46.6808,Sexten Dolomites,South Tyrol,IT,1880
Monte Ruvi,2922,333,7.5644,45.6892,Gran Paradiso Alps,Aosta Valley,IT,0
Hochgasser,2922,311,12.5219,47.1506,Granatspitze Group,E-Tyrol/Salzburg,AT,0
Aiguille du Grand Fond,2920,298,6.6708,45.6664,Beaufortain Massif,Savoy,FR,0
Monte Ciorneva,2918,483,7.2603,45.2683,Graian Alps - SE,Turin,IT,0
Mulleter Seichenkopf,2918,389,12.8314,46.9153,Schober Group,Carinthia/E-Tyrol,AT,1890
Corno di Flavona,2918,305,10.8969,46.2456,Brenta Dolomites,Trentino,IT,1881
Cima Bel Pra,2917,431,12.2411,46.4844,Dolomites - NE,Belluno,IT,1880
Dent Favre,2917,315,7.1039,46.2103,Vaud Alps,Valais/Vaud,CH,0
Pizzo del Diavolo di Tenda,2916,506,9.9081,46.0453,Bergamo Alps,Bergamo/Sondrio,IT,1870
Pointe Côte de l'Ane,2916,472,6.8047,44.2444,Maritime Alps,Alpes Maritimes,FR,0
Maresenspitz,2916,324,13.2303,47.0042,Ankogel Group,Carinthia,AT,0
L'Aupillon,2916,303,6.5786,44.4489,Southern Cottian Alps,A-d-H-Provence,FR,0
Glärnisch (Bächistock),2914,966,8.9953,46.9950,Glarus Alps,Glarus,CH,0
Pflunspitze,2912,977,10.1328,47.0794,Verwall,N-Tyrol/Vorarlb.,AT,1886
Cristallina,2912,344,8.5369,46.4647,Ticino Alps,Ticino,CH,0
Beco Alto del Piz,2912,312,6.9808,44.2989,Maritime Alps,Cuneo,IT,0
Monte Torena,2911,299,10.1031,46.0883,Bergamo Alps,Bergamo/Sondrio,IT,0
Pic du Béal Traversier,2910,550,6.6894,44.7569,Central Cottian Alps,Hautes-Alpes,FR,0
Aiguille de Cédéra,2909,458,6.2847,44.7386,Massif des Écrins,Hautes-Alpes,FR,0
Grande Séolane,2909,385,6.5464,44.3378,Provence Alps,A-d-H-Provence,FR,0
Puy Gris,2908,379,6.1461,45.2958,Belledonne,Savoy,FR,0
Pizzo Diei,2906,623,8.2381,46.2647,Leone-Gotthard Alps,V-C-O,IT,0
Les Grandes Aiguilles,2905,293,6.7850,45.7056,Mont Blanc massif,Savoy,FR,0
Signal du Lauvitel E,2904,306,6.0475,44.9389,Massif des Écrins,Isère,FR,0
Pic de Peyre Eyraute,2903,400,6.6306,44.8228,Central Cottian Alps,Hautes-Alpes,FR,0
Piz Combul,2901,313,10.0439,46.2297,Bernina Range,Graub./Sondrio,CH/IT,0
Grand Chavalard,2899,446,7.1131,46.1786,Vaud Alps,Valais,CH,0
Becca di Nona,2898,374,7.4161,45.8397,Weisshorn-Matterhorn,Aosta Valley,IT,1832
Le Pouzenc,2898,374,6.5169,44.4592,Southern Cottian Alps,A-d-H-Provence,FR,0
Monte Frisozzo,2897,609,10.4492,46.0244,Adamello-Presanella,Brescia,IT,1854
Holzgauer Wetterspitze,2895,592,10.3694,47.2064,Lechtal Alps,North Tyrol,AT,1832
Reinhart,2891,318,12.1797,47.0422,Venediger Group,South Tyrol,IT,1893
Regenstein,2891,316,12.4906,46.8606,Villgraten Mountains,East Tyrol,AT,0
Monte Orsiera,2890,859,7.1072,45.0639,Central Cottian Alps,Turin,IT,0
Schwarzhorn / Piz Gren,2890,355,9.0228,46.6775,Adula Alps,Graubünden,CH,0
Monte Re di Castello,2889,312,10.4833,46.0217,Adamello-Presanella,Brescia/Trentino,IT,1854
Vorderseespitze,2889,310,10.3669,47.1847,Lechtal Alps,North Tyrol,AT,1855
Napfspitze,2888,343,11.7394,46.9369,Zillertal Alps,South Tyrol,IT,0
Schildflue,2887,333,9.9564,46.8806,Silvretta,Graubünden,CH,0
Wissigstock,2887,329,8.5067,46.8456,Urner Alps,Obwalden/Uri,CH,0
Lizumer Reckner,2886,548,11.6308,47.1439,Tux Alps,North Tyrol,AT,0
Guggernüll,2886,377,9.2714,46.5239,Adula Alps,Graubünden,CH,0
Le Chevalier,2886,373,6.7592,44.3306,Maritime Alps,Alpes Maritimes,FR,0
Pizzo Recastello,2886,373,10.0756,46.0569,Bergamo Alps,Bergamo,IT,1876
Rietzer Grieskogel,2884,867,11.0594,47.2458,Stubai Alps,North Tyrol,AT,1829
Monteaviolo,2881,561,10.3986,46.1853,Adamello-Presanella,Brescia,IT,0
Pointe de la Terrasse,2881,405,6.7247,45.6708,Beaufortain Massif,Savoy,FR,0
Piz Fess,2880,501,9.2886,46.7275,Adula Alps,Graubünden,CH,1895
Cima della Sasse,2878,402,12.0644,46.3569,Dolomites - SE,Belluno,IT,0
Moiazza Sud,2878,402,12.0581,46.3383,Dolomites - SE,Belluno,IT,1895
Pointe de Cloutzau,2878,329,6.7475,45.0072,Massif des Cerces,H-Alpes/Turin,FR/IT,0
Peitlerkofel / Sas de Pütia,2875,638,11.8200,46.6589,Dolomites - NW,South Tyrol,IT,1885
Eisentälispitze,2875,386,9.9625,46.9133,Silvretta,Vorarlb/Graub.,AT/CH,1892
Schwalbenkofel,2873,328,12.2703,46.6522,Sexten Dolomites,South Tyrol,IT,0
Monte Carbonè,2873,309,7.4306,44.1603,Maritime Alps,Cuneo,IT,0
Monte Agner,2872,542,11.9528,46.2764,Dolomites - S,Belluno,IT,1875
Mont Bégo,2872,323,7.4508,44.0739,Maritime Alps,Alpes Maritimes,FR,0
Tête des Vieux,2872,302,6.9350,45.7589,Mont Blanc massif,Aosta Valley,IT,0
Le Grand Aréa,2869,442,6.5733,44.9800,Massif des Cerces,Hautes-Alpes,FR,0
Kolbenspitze,2868,367,11.1478,46.7728,Ötztal Alps,South Tyrol,IT,0
Punta Cornour,2867,417,7.0931,44.8506,Central Cottian Alps,Turin,IT,1836
Tête de Gaulent,2867,350,6.5256,44.7189,Massif des Écrins,Hautes-Alpes,FR,0
Nufenenstock,2866,381,8.3883,46.4669,Leone-Gotthard Alps,Ticino/Valais,CH,0
Rocher de Plassa,2865,409,6.6892,45.3731,Vanoise massif,Savoy,FR,0
Triglav,2864,2048,13.8369,46.3781,Julian Alps,West Slovenia,SI,1778
Pala di Meduce,2864,304,12.2975,46.5019,Dolomites - NE,Belluno,IT,1890
Poncione di Braga,2864,301,8.5428,46.4342,Ticino Alps,Ticino,CH,0
Wandfluhhorn / Pizzo Biela,2863,452,8.4642,46.3447,Ticino Alps,Ticino/V-C-O,CH/IT,0
Hochgolling,2862,1124,13.7611,47.2661,Niedere Tauern,Salzburg/Styria,AT,1791
Cima de Barna,2862,314,9.2636,46.4206,Adula Alps,Graub./Sondrio,CH/IT,0
Le Taillefer,2857,1490,5.9244,45.0397,Taillefer Massif,Isère,FR,0
Gstellihorn,2855,366,8.1747,46.6622,Vaud Alps,Bern,CH,1836
Piz di Sassiglion,2855,313,10.1125,46.3228,Livigno Alps,Graub./Sondrio,CH/IT,0
Petite Seolane,2854,317,6.5300,44.3575,Provence Alps,A-d-H-Provence,FR,0
Cima Ciantiplagna,2849,673,7.0133,45.0722,Central Cottian Alps,Turin,IT,0
Croda Granda,2849,492,11.9286,46.2486,Dolomites - S,Belluno,IT,1883
Cima d'Asta,2847,939,11.6053,46.1767,Fiemme Alps,Trentino,IT,1816
Punta Nera,2847,431,12.1917,46.5164,Dolomites - NE,Belluno,IT,1876
Monte Spluga,2845,369,9.5617,46.2017,Bregaglia Range,Sondrio,IT,0
Pizol,2844,457,9.3867,46.9592,Glarus Alps,St. Gallen,CH,1864
Sommet du Charra,2844,363,6.7103,45.0214,Massif des Cerces,H-Alpes/Turin,FR/IT,0
Weissfluh,2843,497,9.7953,46.8350,Plessur Alps,Graubünden,CH,0
Pic de Beaudouis,2843,366,6.6944,44.8364,Central Cottian Alps,Hautes-Alpes,FR,0
Schneekarkopf,2843,307,12.0356,47.1411,Zillertal Alps,North Tyrol,AT,0
Cornone di Blumone,2843,295,10.4558,45.9547,Adamello-Presanella,Brescia,IT,1878
Latemar (Diamantiditurm),2842,1097,11.5753,46.3811,Fiemme Alps,S-Tyrol/Trentino,IT,1885
Cima di Gana Bianca,2842,410,8.9922,46.4714,Adula Alps,Ticino,CH,0
Kirchdachspitze,2840,470,11.3419,47.0672,Stubai Alps,North Tyrol,AT,0
Dürrenstein,2839,880,12.1853,46.6725,Dolomites - NE,South Tyrol,IT,0
Cima Cadin di San Lucano,2839,663,12.2881,46.5775,Sexten Dolomites,Belluno,IT,0
Grand Cheval de Bois,2838,424,6.6339,44.2925,Maritime Alps,A-d-H-Provence,FR,0
Kärlskopf,2836,631,12.2361,46.8886,Villgraten Mountains,E-Tyrol/S-Tyrol,AT/IT,0
Tête du Clotonnet,2835,335,6.1011,44.8428,Massif des Écrins,Isère/H-Alpes,FR,0
Gamskarlspitz,2833,374,13.1625,47.0369,Ankogel Group,Carinth/Salzburg,AT,0
Le Cheval Noir,2832,507,6.4139,45.4219,Vanoise massif,Savoy,FR,0
Rocca la Meja,2831,437,7.0689,44.3983,Southern Cottian Alps,Cuneo,IT,0
Drei Türme/Drusentürme,2830,628,9.8100,47.0247,Rätikon,Vorarlberg,AT,0
Aiguille de Venosc,2830,299,6.0872,44.9681,Massif des Écrins,Isère,FR,0
Grand Pic de la Lauzière,2829,836,6.3667,45.4592,Vanoise massif,Savoy,FR,0
Pirchkogel,2828,300,10.9992,47.2319,Stubai Alps,North Tyrol,AT,0
Große Schlenkerspitze,2827,445,10.6153,47.2489,Lechtal Alps,North Tyrol,AT,1882
Graunock,2827,419,11.7889,46.8861,Zillertal Alps,South Tyrol,IT,0
Cime de Bolofré,2827,308,6.8353,44.2231,Maritime Alps,Alpes Maritimes,FR,0
Madrisahorn,2826,600,9.8722,46.9311,Rätikon,Graubünden,CH,0
Kalkwand,2826,342,11.6617,47.1539,Tux Alps,North Tyrol,AT,0
Grand Perron des Encombres,2824,442,6.4503,45.2978,Vanoise massif,Savoy,FR,0
Tête de l'Hivernet,2824,330,6.4531,44.6200,Massif des Écrins,Hautes-Alpes,FR,0
Hoher Herd,2824,313,12.4500,47.1994,Venediger Group,Salzburg,AT,0
Hochmaderer,2823,318,10.0286,46.9286,Silvretta,Vorarlberg,AT,1853
Le Bellachat,2822,351,6.3969,45.3797,Vanoise massif,Savoy,FR,0
Riedbock,2822,297,13.3567,46.9286,Ankogel Group,Carinthia,AT,0
Monfandì,2820,405,7.6194,45.5219,Gran Paradiso Alps,Turin,IT,0
Sulzfluh,2818,475,9.8397,47.0125,Rätikon,Vorarlb/Graub.,AT/CH,1782
Mont Mounier,2817,613,6.9725,44.1547,Maritime Alps,Alpes Maritimes,FR,0
Dosso Resaccio,2814,519,10.2200,46.5011,Livigno Alps,Sondrio,IT,0
Sass Maòr,2814,371,11.8481,46.2325,Dolomites - S,Trentino,IT,1875
Vallüla,2813,776,10.1125,46.9375,Silvretta,N-Tyrol/Vorarlb.,AT,1866
Cima delle Lose,2813,352,6.9250,44.3722,Maritime Alps,Cuneo,IT,0
Frate della Meia,2812,387,7.9242,45.7589,Monte Rosa Alps,Vercelli,IT,0
Seekofel / Sas dla Porta,2810,478,12.0725,46.6750,Dolomites - NE,Belluno/S-Tyrol,IT,0
Valluga,2809,572,10.2131,47.1575,Lechtal Alps,N-Tyrol/Vorarlb.,AT,1877
Monte Campellio,2809,315,10.4772,46.0514,Adamello-Presanella,Brescia/Trentino,IT,0
Peiderspitze,2808,408,11.1217,47.2197,Stubai Alps,North Tyrol,AT,1888
Seejoch,2808,408,11.1031,47.2244,Stubai Alps,North Tyrol,AT,1888
Pizzo Castello,2808,385,8.5653,46.4156,Ticino Alps,Ticino,CH,0
Pic du Frêne,2807,521,6.1983,45.3525,Belledonne,Isère/Savoy,FR,0
Haldensteiner Calanda,2805,1460,9.4675,46.9000,Glarus Alps,Graub./StGallen,CH,1559
Cima de Gagela,2805,723,9.1747,46.3842,Adula Alps,Graubünden,CH,0
Tête à l'Ane,2804,540,6.7797,45.9872,Chablais Alps,Upper Savoy,FR,0
Corona di Redorta,2804,481,8.7322,46.3756,Ticino Alps,Ticino,CH,0
Schlicker Seespitze,2804,327,11.2733,47.1456,Stubai Alps,North Tyrol,AT,1879
Bös Fulen,2802,367,8.9458,46.9672,Glarus Alps,Glarus/Schwyz,CH,0
Cima di Ball,2802,352,11.8444,46.2431,Dolomites - S,Trentino,IT,1869
Corno Mud,2802,317,7.9639,45.8844,Monte Rosa Alps,Vercelli,IT,0
Rollspitze,2800,588,11.5078,46.9464,Zillertal Alps,South Tyrol,IT,0
Rosenjoch,2796,466,11.5433,47.1800,Tux Alps,North Tyrol,AT,0
Col Bechei / Pareispitze,2794,622,12.0444,46.6078,Dolomites - NE,Belluno/S-Tyrol,IT,0
Kärpf,2794,533,9.0933,46.9167,Glarus Alps,Glarus,CH,0
Drättehorn,2794,340,7.8239,46.5822,Bernese Prealps,Bern,CH,0
Pizzo Quadro,2793,470,8.4181,46.2986,Ticino Alps,Ticino/V-C-O,CH/IT,0
Grand Armet,2792,920,5.9344,44.9819,Taillefer Massif,Isère,FR,0
Punta Ciamberline,2792,325,7.3581,44.1656,Maritime Alps,Cuneo,IT,0
Grande Tête de l'Obiou,2790,1542,5.8397,44.7747,Dauphiné Prealps,Isère,FR,0
Pizzo Marumo,2790,435,8.9594,46.5983,Adula Alps,Ticino,CH,0
Muntejela de Senes,2787,456,12.0183,46.6717,Dolomites - NE,South Tyrol,IT,0
Le Luisin,2786,324,6.9700,46.1208,Chablais Alps,Valais,CH,0
Polinik,2784,1575,13.1581,46.8950,Kreuzeck Group,Carinthia,AT,0
Schrotkopf,2784,430,12.5406,47.2089,Granatspitze Group,Salzburg,AT,0
Grande Autane,2782,379,6.2878,44.6492,Massif des Écrins,Hautes-Alpes,FR,0
Hirzer,2781,751,11.2767,46.7372,Sarntal Alps,South Tyrol,IT,0
Tiejer Flue,2781,345,9.7344,46.7808,Plessur Alps,Graubünden,CH,0
Hohe Warte / Coglians,2780,1144,12.8831,46.6069,Carnic Alps,Carinthia/Udine,AT/IT,1865
Monte dei Corni,2779,315,7.6358,45.5708,Gran Paradiso Alps,Aosta/Turin,IT,0
Monte Cassorso,2776,339,7.0181,44.4178,Southern Cottian Alps,Cuneo,IT,0
Grun de St.Maurice,2775,323,6.0572,44.8161,Massif des Écrins,Isère/H-Alpes,FR,0
Imster Muttekopf,2774,300,10.6517,47.2672,Lechtal Alps,North Tyrol,AT,0
Pizzo del Sole,2773,555,8.7678,46.5250,Leone-Gotthard Alps,Ticino,CH,0
Punta Lunella,2772,471,7.2164,45.1972,Graian Alps - SE,Turin,IT,0
Große Sandspitze,2770,1245,12.8119,46.7664,Gailtal Alps,East Tyrol,AT,1866
Madererspitze,2769,495,10.0697,47.0250,Verwall,Vorarlberg,AT,1865
Fallesinspitze,2769,465,10.3003,47.1814,Lechtal Alps,North Tyrol,AT,0
Hochsteinflache,2769,294,11.9978,47.1589,Zillertal Alps,North Tyrol,AT,0
Hochplattig,2768,1189,10.9886,47.3531,Mieminger Chain,North Tyrol,AT,1873
Il Madone,2768,330,8.5669,46.4919,Ticino Alps,Ticino,CH,0
Dristner,2767,313,11.8394,47.1133,Zillertal Alps,North Tyrol,AT,1843
Schwarzkopf,2765,365,12.8608,47.1669,Glockner Group,Salzburg,AT,0
Schächentaler Windgällen,2764,691,8.7917,46.8881,Glarus Alps,Uri,CH,0
Schwarzberg / Piz Nair,2764,343,8.6778,46.6094,Leone-Gotthard Alps,Graubünden/Uri,CH,0
Albristhorn,2763,823,7.4878,46.4981,Bernese Prealps,Bern,CH,0
Rotenkogel,2762,555,12.5989,46.9800,Granatspitze Group,East Tyrol,AT,0
Rastkogel,2762,470,11.7511,47.2042,Tux Alps,North Tyrol,AT,0
Pizzo Massari,2760,424,8.6833,46.4758,Ticino Alps,Ticino,CH,0
Dent de Barme,2759,364,6.8419,46.1319,Chablais Alps,Valais/U-Savoy,CH/FR,0
Grand Ferrand,2758,523,5.8161,44.7225,Dauphiné Prealps,Isère/H-Alpes,FR,1873
Reeti / Rötihorn,2757,341,8.0117,46.6650,Bernese Prealps,Bern,CH,0
Ehrenspitze,2756,347,11.0778,46.7639,Ötztal Alps,South Tyrol,IT,0
Roche de l'Abisse/Rocca dell'Abisso,2755,492,7.5050,44.1436,Maritime Alps,A-Marit/Cuneo,FR/IT,1832
Cima di Cece,2754,736,11.6839,46.2608,Fiemme Alps,Trentino,IT,0
Monte Telenek,2754,440,10.1792,46.0925,Bergamo Alps,Sondrio,IT,0
Jôf dal Montâs,2753,1597,13.4336,46.4358,Julian Alps,Udine,IT,1877
Untere Wildgrubenspitze,2753,980,10.1264,47.1650,Lechtal Alps,Vorarlberg,AT,0
Östliche Eisentalerspitze,2753,358,10.1000,47.0797,Verwall,Vorarlberg,AT,0
Pic de Valsenestre,2752,484,6.0675,44.8867,Massif des Écrins,Isère,FR,0
Cima di Quaira/Karspitze,2752,303,10.6142,46.3086,Ortler Alps,S-Tyrol/Trentino,IT,0
Pointe Percée,2750,1643,6.5561,45.9556,Aravis Range,Upper Savoy,FR,1865
Birkkarspitze,2749,1564,11.4378,47.4111,Karwendel,North Tyrol,AT,1870
Alplerspitz / Mardatsch,2748,321,11.3011,46.7617,Sarntal Alps,South Tyrol,IT,0
Sommet de La Frema,2747,702,6.6986,44.1519,Maritime Alps,A-d-H-Provence,FR,0
Hochwildstelle,2747,480,13.8308,47.3350,Niedere Tauern,Styria,AT,1801
Corno del Lago,2747,409,7.7831,45.6708,Monte Rosa Alps,Aosta Valley,IT,0
Hochwart,2746,308,11.3189,46.7908,Sarntal Alps,South Tyrol,IT,0
Cima Bocche,2745,714,11.7522,46.3542,Dolomites - NW,Trentino,IT,0
Jakobsspitze,2745,531,11.4917,46.7631,Sarntal Alps,South Tyrol,IT,0
Sadnig,2745,385,12.9892,46.9411,Goldberg Group,Carinthia,AT,0
Hochwanner,2744,699,11.0558,47.3961,Wetterstein,N-Tyrol/Bavaria,AT/DE,1870
Roteck,2742,444,13.8506,47.2300,Niedere Tauern,Salzburg/Styria,AT,0
Ärmighore,2742,332,7.7136,46.5417,Bernese Prealps,Bern,CH,0
Madom Gröss,2741,630,8.8311,46.3667,Ticino Alps,Ticino,CH,0
Cima Carnera,2741,319,7.9703,45.8550,Monte Rosa Alps,Vercelli,IT,0
Škrlatica,2740,972,13.8211,46.4328,Julian Alps,West Slovenia,SI,1880
Kasereck,2740,425,13.7717,47.2375,Niedere Tauern,Salzburg,AT,0
Schenadüi,2738,375,8.7486,46.5525,Leone-Gotthard Alps,Ticino,CH,0
Spitzhorli,2737,320,7.9806,46.2644,Weissmies Alps,Valais,CH,0
Monte Zucchero,2735,554,8.7142,46.3542,Ticino Alps,Ticino,CH,0
Kaltwasserkarspitze,2733,320,11.4506,47.4031,Karwendel,North Tyrol,AT,1870
Dremelspitze,2733,307,10.5958,47.2350,Lechtal Alps,North Tyrol,AT,1896
Pic des Cabottes,2732,548,6.0639,45.2419,Belledonne,Isère,FR,0
Clot de la Cime,2732,312,6.7219,44.8167,Central Cottian Alps,Hautes-Alpes,FR,0
Monte Borga,2731,325,10.2083,46.0931,Bergamo Alps,Sondrio,IT,0
Le Grand Coin,2729,328,6.4022,45.3461,Vanoise massif,Savoy,FR,0
Kesselspitze,2728,323,11.3647,47.1006,Stubai Alps,North Tyrol,AT,0
Bergwerkskopf,2728,310,10.6092,47.2250,Lechtal Alps,North Tyrol,AT,1885
Sas de Mezdi / La Mesola,2727,488,11.8775,46.4719,Dolomites - NW,Belluno/Trentino,IT,0
Pizzo di Claro,2727,361,9.0556,46.2958,Adula Alps,Graub./Ticino,CH/IT,0
Pizzo di Prata,2727,352,9.4556,46.2775,Bregaglia Range,Sondrio,IT,0
Großer Bettelwurf,2726,814,11.5200,47.3442,Karwendel,North Tyrol,AT,1855
Hirzer,2725,339,11.6631,47.2178,Tux Alps,North Tyrol,AT,0
Schmalzkopf,2724,327,10.5358,46.9314,Ötztal Alps,North Tyrol,AT,0
Weiße Wand,2722,315,11.8136,46.9458,Zillertal Alps,South Tyrol,IT,0
Dzerbion/Monte Zerbion,2720,306,7.6639,45.7883,Monte Rosa Alps,Aosta Valley,IT,0
Hochwand,2719,402,11.0158,47.3586,Mieminger Chain,North Tyrol,AT,1873
Spitzkofel,2717,457,12.7433,46.7722,Gailtal Alps,East Tyrol,AT,1855
Serles,2717,333,11.3811,47.1239,Stubai Alps,North Tyrol,AT,1579
Ortstock,2716,538,8.9481,46.9253,Glarus Alps,Glarus/Schwyz,CH,0
Valisera,2716,293,9.9558,46.9608,Silvretta,Vorarlberg,AT,0
Cima Ambrizzola,2715,610,12.0981,46.4792,Dolomites - NE,Belluno,IT,1884
Colàc,2715,377,11.7825,46.4414,Dolomites - NW,Trentino,IT,0
Watzmann,2713,953,12.9231,47.5550,Berchtesgaden Alps,Bavaria,DE,1800
Pizzo Straciugo,2713,335,8.1208,46.1322,Weissmies Alps,Valais/V-C-O,CH/IT,0
Croda da Campo,2712,365,12.4342,46.5894,Sexten Dolomites,Belluno,IT,0
Weißeck,2711,451,13.3942,47.1625,Niedere Tauern,Salzburg,AT,0
Mont Saint Sauveur,2711,369,7.1356,44.1647,Maritime Alps,Alpes Maritimes,FR,0
Mont Gond,2710,395,7.2636,46.2856,Vaud Alps,Valais,CH,0
Pic de Bure,2709,1267,5.9350,44.6267,Dauphiné Prealps,Hautes-Alpes,FR,0
Hochkreuz,2709,300,13.0742,46.8150,Kreuzeck Group,Carinthia,AT,0
Gsür,2708,372,7.5197,46.5108,Bernese Prealps,Bern,CH,0
Coston di Slavaci,2708,315,11.7169,46.2622,Fiemme Alps,Trentino,IT,0
Cima dei Preti,2706,1420,12.4208,46.3425,Carnic Prealps,Bell./Pordenone,IT,1874
Penser Weißhorn,2705,458,11.3956,46.8019,Sarntal Alps,South Tyrol,IT,1822
Pizzo Montalto,2705,395,8.1331,46.0975,Weissmies Alps,V-C-O,IT,0
Rote Wand,2704,877,9.9850,47.1864,Lechquellen Alps,Vorarlberg,AT,1610
Monte Fraiteve,2702,403,6.8614,44.9772,Central Cottian Alps,Turin,IT,0
Waldhorn,2702,392,13.8175,47.2961,Niedere Tauern,Salzburg/Styria,AT,1878
Rotsandnollen,2700,493,8.3439,46.8006,Urner Alps,Nidwalden/Obw.,CH,0
Cima Iuribrutto,2697,316,11.7653,46.3592,Dolomites - NW,Trentino,IT,0
Großer Lafatscher,2696,615,11.4528,47.3456,Karwendel,North Tyrol,AT,1867
Monte Peralba,2694,725,12.7194,46.6294,Carnic Alps,Belluno,IT,1854
Piz de Groven,2694,433,9.1592,46.3183,Adula Alps,Graubünden,CH,0
Le Grand Coyer,2693,421,6.6903,44.1006,Maritime Alps,A-d-H-Provence,FR,0
Tête du Colonney,2692,521,6.6908,45.9717,Chablais Alps,Upper Savoy,FR,0
Ilmspitze,2692,300,11.3303,47.0572,Stubai Alps,North Tyrol,AT,1891
Große Kinigat / Monte Cavallino,2689,595,12.5244,46.6753,Carnic Alps,E-Tyrol/Belluno,AT/IT,1898
Piz Pian Grand,2689,528,9.1556,46.4175,Adula Alps,Graubünden,CH,0
Aiguilles de la Pennaz,2688,359,6.6994,45.7450,Beaufortain Massif,Savoy/U-Savoy,FR,0
Hochfeind,2687,572,13.4950,47.1872,Niedere Tauern,Salzburg,AT,0
Schwabenalpenkopf,2687,296,12.2867,46.6453,Sexten Dolomites,South Tyrol,IT,0
Grand Mont,2686,577,6.5372,45.6319,Beaufortain Massif,Savoy,FR,0
Cima del Serraglio,2685,350,10.2422,46.5928,Ortler Alps,Graub./Sondrio,CH/IT,0
Deichselspitze,2684,385,13.8222,47.2703,Niedere Tauern,Salzburg/Styria,AT,0
Le Chapeau de Gendarme,2682,368,6.6658,44.3383,Maritime Alps,Alpes Maritimes,FR,0
Leutascher Dreitorspitze,2682,346,11.1244,47.4006,Wetterstein,N-Tyrol/Bavaria,AT/DE,1871
Hochstadel,2681,386,12.8572,46.7600,Gailtal Alps,Carinthia/E-Tyrol,AT,0
Mosermandl,2680,555,13.3961,47.2061,Niedere Tauern,Salzburg,AT,0
Mangart / Velike Mangrt,2679,1067,13.6547,46.4394,Julian Alps,Udine/Slovenia,IT/SI,1794
Spullerschafberg,2679,670,10.0758,47.1739,Lechquellen Alps,Vorarlberg,AT,0
Punta Tempesta,2679,309,7.1383,44.4219,Southern Cottian Alps,Cuneo,IT,0
Cima di Santa Maria,2678,436,10.9508,46.2128,Brenta Dolomites,Trentino,IT,0
Gaflunakopf,2676,351,10.1347,47.0639,Verwall,N-Tyrol/Vorarlb.,AT,0
Piz della Forcola,2675,449,9.2933,46.3164,Adula Alps,Graub./Sondrio,CH/IT,0
Mont Pépoiri,2674,643,7.2028,44.1108,Maritime Alps,Alpes Maritimes,FR,0
Mont Rougnous,2673,465,6.8739,44.1842,Maritime Alps,Alpes Maritimes,FR,0
Elendberg,2672,346,13.7469,47.2839,Niedere Tauern,Styria,AT,0
Ballunspitze,2671,400,10.1350,46.9553,Silvretta,N-Tyrol/Vorarlb.,AT,1861
Stübele/Stubele,2671,384,10.9367,46.4678,Ortler Alps,S-Tyrol/Trentino,IT,0
Sas Ciampac/Ciampatsch,2671,305,11.8353,46.5631,Dolomites - NW,South Tyrol,IT,0
Le Grand Miceau,2669,300,6.2122,45.3711,Belledonne,Savoy,FR,0
Duranno,2668,510,12.4028,46.3289,Carnic Prealps,Bell./Pordenone,IT,0
Südliche Sonnenspitze,2668,325,11.4778,47.3867,Karwendel,North Tyrol,AT,1870
Jôf Fuart / Wischberg /Viš,2666,528,13.4914,46.4306,Julian Alps,Udine,IT,0
Les Avoudrues,2666,385,6.8131,46.1011,Chablais Alps,Upper Savoy,FR,0
Monte Bruffione,2665,350,10.4914,45.9422,Adamello-Presanella,Brescia/Trentino,IT,0
Monte Cernera,2664,304,12.0583,46.4689,Dolomites - NE,Belluno,IT,0
Toblacher Pfannhorn,2663,337,12.2842,46.7839,Villgraten Mountains,E-Tyrol/S-Tyrol,AT/IT,0
Hohe Munde,2662,603,11.0719,47.3478,Mieminger Chain,North Tyrol,AT,0
Grünstein,2661,389,10.9214,47.3489,Mieminger Chain,North Tyrol,AT,0
Pointe Rousse des Chambres,2660,322,6.8203,46.1128,Chablais Alps,Upper Savoy,FR,0
Pizzo Giezza,2658,555,8.1967,46.1792,Weissmies Alps,V-C-O,IT,0
Piz Toissa,2657,310,9.5250,46.6186,Oberhalbstein Range,Graubünden,CH,0
Großer Krottenkopf,2656,996,10.3558,47.3117,Allgäu Alps,North Tyrol,AT,1864
Ilmenspitze /Cima delgi Olmi,2656,312,10.9639,46.4819,Ortler Alps,S-Tyrol/Trentino,IT,0
Selbhorn,2655,409,12.9636,47.4469,Berchtesgaden Alps,Salzburg,AT,0
Sommet du Guiau,2654,442,6.6736,45.0200,Massif des Cerces,H-Alpes/Turin,FR/IT,0
Faulkogel,2654,350,13.3725,47.2161,Niedere Tauern,Salzburg,AT,0
Schönfeldspitze,2653,384,12.9375,47.4581,Berchtesgaden Alps,Salzburg,AT,0
Aferer Geisler (Tullen),2653,296,11.7750,46.6536,Dolomites - NW,South Tyrol,IT,0
Männliflue,2652,374,7.5464,46.5514,Bernese Prealps,Bern,CH,0
Hohes Licht,2651,678,10.2761,47.2803,Allgäu Alps,North Tyrol,AT,1854
Punta Marguareis,2650,779,7.6844,44.1739,Ligurian Alps,A-Marit/Cuneo,FR/IT,0
Le Chenaillet,2650,496,6.7406,44.9022,Central Cottian Alps,Hautes-Alpes,FR,0
Braunarlspitze,2649,612,10.0644,47.2294,Lechquellen Alps,Vorarlberg,AT,0
Averau,2649,413,12.0369,46.5008,Dolomites - NE,Belluno,IT,1874
Jalovec,2645,511,13.6797,46.4217,Julian Alps,West Slovenia,SI,1875
