Mountain,Height,Drop,Lon,Lat,Range,Region,Country,Firstascent
Piz da l'Acqua,3118,310,10.1389,46.6111,Livigno Alps,Graub./Sondrio,CH/IT,1888
Grand Pinier,3117,335,6.4017,44.7236,Massif des Écrins,Hautes-Alpes,FR,0
Schermerspitze,3116,308,11.0844,46.8878,Ötztal Alps,North Tyrol,AT,0
Grand Queyras,3114,308,6.9519,44.7156,Southern Cottian Alps,Hautes-Alpes,FR,0
Luibiskogel,3110,473,10.9042,47.0497,Ötztal Alps,North Tyrol,AT,1894
Monte Servin,3108,333,7.1997,45.2647,Graian Alps - SE,Turin,IT,0
Krönten,3108,330,8.5694,46.7822,Urner Alps,Uri,CH,1868
Gletscherhorn,3107,413,9.5606,46.3875,Oberhalbstein Range,Graubünden,CH,1849
Pizz Gallagiun/Galleggione,3107,413,9.4878,46.3669,Oberhalbstein Range,Graub./Sondrio,CH/IT,1861
Ochsner,3107,300,11.8156,47.0439,Zillertal Alps,North Tyrol,AT,0
Tête de Moïse,3104,562,6.9350,44.4406,Southern Cottian Alps,AdHP/Cuneo,FR/IT,1883
Piz la Stretta / Monte Breva,3104,314,10.0447,46.4767,Livigno Alps,Graub./Sondrio,CH,0
Große Ohrenspitze,3101,369,12.1775,46.9069,Rieserferner Group,E-Tyrol/S-Tyrol,AT/IT,1878
Piz Segnas,3099,607,9.2397,46.9078,Glarus Alps,Glarus/Graub.,CH,1861
Monte Ouille,3099,362,6.8664,45.7317,Mont Blanc massif,Aosta Valley,IT,0
Lasörling,3098,490,12.3553,46.9758,Venediger Group,East Tyrol,AT,1854
Pointe des Cerces,3098,485,6.4883,45.0656,Massif des Cerces,H-Alpes/Savoy,FR,1891
Pic des Souffles,3098,419,6.1333,44.8650,Massif des Écrins,Isère/H-Alpes,FR,1890
Monte Matto,3097,577,7.2564,44.2250,Maritime Alps,Cuneo,IT,1879
Pflerscher Tribulaun,3097,498,11.3392,46.9853,Stubai Alps,N-Tyrol/S-Tyrol,AT/IT,1874
Blockkogel,3097,295,10.8806,47.0853,Ötztal Alps,North Tyrol,AT,0
Piz Giuv / Schattig Wichel,3096,749,8.6925,46.7019,Glarus Alps,Graubünden/Uri,CH,1804
Mont Buet,3096,612,6.8528,46.0247,Chablais Alps,Upper Savoy,FR,1770
Zwölferkofel / Croda dei Toni,3094,713,12.3597,46.6192,Sexten Dolomites,Belluno/S-Tyrol,IT,1874
Elferkofel /Cima Undici,3092,661,12.3783,46.6364,Sexten Dolomites,Belluno/S-Tyrol,IT,1878
Racherin,3092,429,12.7944,47.0811,Glockner Group,Carinthia,AT,1848
Mont Fallère,3090,607,7.1942,45.7756,Grand Combin Alps,Aosta Valley,IT,0
Tête de la Courbe,3089,565,6.8233,44.4978,Southern Cottian Alps,A-d-H-Provence,FR,0
Vesulspitze,3089,550,10.3492,47.0017,Samnaun Alps,North Tyrol,AT,1866
Monte Forcellina,3087,473,10.1986,46.4664,Livigno Alps,Sondrio,IT,0
Hohe Villerspitze,3087,293,11.1656,47.1067,Stubai Alps,North Tyrol,AT,1878
Flüela Wisshorn,3085,632,9.9667,46.7622,Silvretta,Graubünden,CH,1880
Cima da Lägh /Cima di Lago,3083,422,9.4611,46.3764,Oberhalbstein Range,Graub./Sondrio,CH/IT,0
Zwieselbacher Rosskogel,3081,330,11.0481,47.1633,Stubai Alps,North Tyrol,AT,1881
Fundusfeiler,3079,295,10.8703,47.1122,Ötztal Alps,North Tyrol,AT,0
Chüealphorn,3078,472,9.9053,46.6853,Albula Alps,Graubünden,CH,1877
Monte Nery/Becca Frudiera,3076,906,7.8200,45.7158,Monte Rosa Alps,Aosta Valley,IT,1873
Großer Hafner,3076,824,13.4008,47.0700,Ankogel Group,Carinth/Salzburg,AT,1825
Pic de Parières,3076,469,6.2408,44.7794,Massif des Écrins,Hautes-Alpes,FR,0
Piz Starlex,3075,779,10.3925,46.6628,Sesvenna Range,Graub./S-Tyrol,CH/IT,0
Piz Sena,3075,344,10.1100,46.3531,Livigno Alps,Graub./Sondrio,CH/IT,1901
Bristen,3073,567,8.6811,46.7369,Glarus Alps,Uri,CH,1823
Wildkarspitze,3073,384,12.1392,47.1725,Zillertal Alps,Salzburg,AT,1892
Pizzo Campo Tencia,3072,754,8.7261,46.4297,Ticino Alps,Ticino,CH,1867
Chüebodenhorn,3070,316,8.4531,46.5081,Leone-Gotthard Alps,Ticino/Valais,CH,0
Tête de la Cassille,3069,299,6.4994,45.0439,Massif des Cerces,Hautes-Alpes,FR,0
La Meyna,3067,375,6.8586,44.4811,Southern Cottian Alps,A-d-H-Provence,FR,0
Geltenhorn,3065,312,7.3344,46.3464,Bernese Alps,Bern/Valais,CH,0
Cunturines/Conturines,3064,913,11.9778,46.5758,Dolomites - NE,South Tyrol,IT,1881
Hoher Prijakt,3064,473,12.7128,46.9156,Schober Group,East Tyrol,AT,1890
Pointe des Rochers Charniers,3063,389,6.7356,44.9878,Massif des Cerces,Hautes-Alpes,FR,0
Hoch Ducan,3063,324,9.8514,46.6894,Albula Alps,Graubünden,CH,1845
